date,poll_id
2026-09-07,5832486461785507508
2026-09-08,5837039397702206523
2026-09-09,5839018617416451232
2026-09-10,5841270417230136337
2026-09-11,5845692618637313543
2026-09-12,5848368331723114146
2026-09-13,5850620131536799399
2026-09-14,5852825429739570831
2026-09-15,5857030606449280379
2026-09-16,5859282406262965707
2026-09-17,5863802588759065851
2026-09-18,5866426775122215924
2026-09-19,5868678574935901331
2026-09-20,5872866241063947104
2026-09-21,5875367518347985938
2026-09-22,5877619318161671904
2026-09-23,5882122947853814063
2026-09-24,5884123771253558018
